value;date
645;01.08.2024
968;02.08.2024
962;03.08.2024
1021;04.08.2024
491;05.08.2024
503;06.08.2024
518;07.08.2024
542;08.08.2024
684;09.08.2024
1018;10.08.2024
1023;11.08.2024
623;12.08.2024
617;13.08.2024
729;14.08.2024
745;15.08.2024
749;16.08.2024
1019;17.08.2024
988;18.08.2024
720;19.08.2024
653;20.08.2024
644;21.08.2024
616;22.08.2024
670;23.08.2024
1043;24.08.2024
1190;25.08.2024
791;26.08.2024
822;27.08.2024
871;28.08.2024
693;29.08.2024
814;30.08.2024
1052;31.08.2024